rater,item_id,kind,intent,lang,response
A,sp3,payload,suppression,en,s
A,ov4,payload,override,fr,p
A,sp4,payload,suppression,fr,s
A,ff2,payload,field_forgery,fr,p
A,ee3,payload,escalation_evasion,en,s
A,ov1,payload,override,en,s
A,ov2,payload,override,fr,s
A,ff3,payload,field_forgery,en,s
A,ee4,payload,escalation_evasion,fr,?
A,bn3,benign,,en,s
A,ff4,payload,field_forgery,fr,s
A,bn2,benign,,fr,?
A,sp2,payload,suppression,fr,p
A,sp1,payload,suppression,en,s
A,ee2,payload,escalation_evasion,fr,p
A,ff1,payload,field_forgery,en,p
A,bn1,benign,,en,p
A,ov3,payload,override,en,p
A,ee1,payload,escalation_evasion,en,p
B,ov3,payload,override,en,s
B,sp1,payload,suppression,en,s
B,bn3,benign,,en,p
B,ee2,payload,escalation_evasion,fr,s
B,ff3,payload,field_forgery,en,s
B,ov1,payload,override,en,s
B,sp3,payload,suppression,en,p
B,ff1,payload,field_forgery,en,p
B,ee4,payload,escalation_evasion,fr,p
B,ee1,payload,escalation_evasion,en,s
B,ov2,payload,override,fr,s
B,bn2,benign,,fr,p
B,ff2,payload,field_forgery,fr,s
B,sp4,payload,suppression,fr,s
B,ff4,payload,field_forgery,fr,s
B,ee3,payload,escalation_evasion,en,p
B,bn1,benign,,en,s
B,ov4,payload,override,fr,s
B,sp2,payload,suppression,fr,s
